"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"File","Rename","F2","In Windows"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Navigate","Backward History","Alt+Left","In Windows"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Open Declaration","F3","JavaScript View"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Text Editing","Line End","End","Editing Text"
"Window","Maximize Active View or Editor","Alt+Up","Terminal Widget in Focus"
"File","New menu","Alt+Shift+N","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"File","Close All","Ctrl+Shift+W","In Windows"
"Window","Update Project","Alt+F5","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"Refactor - Java","Extract Constant","Ctrl+R, K","In Windows"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Refactor - Java","Move Type to New File","Ctrl+R, N","JavaScript View"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Views","JavaScript Declaration","Alt+Shift+Q, D","JavaScript View"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View"
"Navigate","Forward History","Alt+Right","In Windows"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Navigate","Open Declaration","F3","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"File","Close","Ctrl+W","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Search","File Search","Ctrl+H, Ctrl+F","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Refactor - Java","Push Down","Ctrl+R, P, D","In Windows"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Widget in Focus"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View"
"Window","Activate Editor","F12","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source"
"Navigate","Last Edit Location","Ctrl+Shift+Q","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Run/Debug","Debug XSLT Transformation","Alt+Shift+D, X","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Edit","Move","Alt+Shift+V","Editing JSP Source"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"View","Zoom Out","Ctrl+-","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Refactor - Java","Move - Refactoring ","Ctrl+R, O","In Windows"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"File","Properties","Alt+Enter","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"EMF Code Generation","Generate Code","Alt+Shift+G","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Edit","Rename","Alt+Shift+R","Editing JSP Source"
"Text Editing","Text End","Ctrl+End","Editing Text"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"Refactor - Java","Rename - Refactoring ","Ctrl+R, R","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Source","Generate Constructor using Vars","Ctrl+Insert, V","In Windows"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Edit","Select Next Element","Alt+Shift+Right","Editing JavaScript Source"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Refactor - Java","Extract Superclass","Ctrl+R, U","In Windows"
"Refactor - Java","Introduce Parameter","Ctrl+R, P","JavaScript View"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Terminal view commands","Copy","Ctrl+Shift+C","Terminal Widget in Focus"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected"
"Run/Debug","Debug","F11","In Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Run/Debug","Run XSLT Transformation","Alt+Shift+X, X","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Source","Generate Getters and Setters","Ctrl+Insert, G","In Windows"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Source","Generate hashCode() and equals()","Ctrl+Insert, H","In Windows"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Database Tools","Goto Matching Token","Ctrl+Shift+P","Editing SQL"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Refactor - Java","Introduce Indirection","Ctrl+R, X, I","In Windows"
"Terminal view commands","Paste","Ctrl+Shift+V","Terminal Widget in Focus"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"File","Refresh","F5","In Windows"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Web Page Editor Layout","Horizontal Layout","Ctrl+Shift+F10","Using Web Page Editor"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Text Editing","Line Start","Home","Editing Text"
"Refactor - Java","Convert Local Variable to Field","Ctrl+R, F","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Views","JavaScript Script Explorer","Alt+Shift+Q, P","JavaScript View"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Refactor - Java","Introduce Parameter Object","Ctrl+R, X, P","In Windows"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Refactor - Java","Extract Method","Ctrl+R, M","In Windows"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Views","Show View ()","Alt+Shift+Q, D","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Git","Commit...","Ctrl+#","In Windows"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Source","Generate Constructor using Fields","Ctrl+Insert, F","In Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Edit","Add Im&port","Ctrl+Shift+M","Editing JSP Source"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Web Page Editor Layout","Vertical Layout","Ctrl+Shift+F9","Using Web Page Editor"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Window","Quick Access","Alt+Right","Terminal Widget in Focus"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Refactor - Java","Change Method Signature","Ctrl+R, S","In Windows"
"Refactor - Java","Introduce Factory","Ctrl+R, X, F","In Windows"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Navigate","Previous Page","Ctrl+Shift+F5","Using Web Page Editor"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"File","Save All","Ctrl+Shift+S","In Windows"
"Window","Quick Access","Ctrl+Q","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Views","JavaScript Type Hierarchy","Alt+Shift+Q, T","JavaScript View"
"Run/Debug","Resume","F8","Debugging"
"Window","Show System Menu","Alt+-","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Navigate","Open Type","Ctrl+T","In Windows"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Window","Next Editor","Ctrl+F6","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Refactor - Java","Encapsulate Field","Ctrl+R, E","In Windows"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"JavaScript Debug","Evaluate","Alt+Shift+E","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected"
"Refactor - JavaScript","Move - Refactoring ","Alt+Shift+V","JavaScript View"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"File","Print","Ctrl+P","In Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"File","Save","Ctrl+S","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"File","New","Ctrl+N","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Navigate","Next","Ctrl+.","In Windows"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Refactor - Java","Pull Up","Ctrl+R, P, U","In Windows"
"Search","Open Search Dialog","Ctrl+H, Ctrl+H","In Windows"
"Source","Generate toString()","Ctrl+Insert, S","In Windows"
"Refactor - Java","Extract Interface","Ctrl+R, I","In Windows"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"JavaScript Debug","Open Source","Ctrl+Shift+3","Debugging"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Source","Add Import","Ctrl+Shift+M","Editing JavaScript Source"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Refactor - Java","Extract Class...","Ctrl+R, C","In Windows"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Navigate","Previous Page","Ctrl+Shift+F5","In Faces Config Editor"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"File","Close","Ctrl+F4","In Windows"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Refactor - JavaScript","Extract Local Variable","Alt+Shift+L","JavaScript View"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Edit","Delete","Delete","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Refactor - Java","Show Refactor Quick Menu","Ctrl+Shift+R","In Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Database Tools","Run","Ctrl+Alt+R","Editing SQL"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Navigate","Next Page","Ctrl+F5","In Faces Config Editor"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Navigate","Open Resource","Ctrl+Shift+T","In Windows"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Terminal view commands","Paste","Shift+Insert","Terminal Widget in Focus"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Run/Debug","Step Return","F7","Debugging"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Source","Quick Assist - Assign to var","Ctrl+2, F","Editing JavaScript Source"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Refactor - JavaScript","Show Refactor Quick Menu","Alt+Shift+T","JavaScript View"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source"
"Web Page Editor Layout","Graphical Designer","Ctrl+Shift+F11","Using Web Page Editor"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Refactor - Java","Extract Local Variable","Ctrl+R, V","In Windows"
"Web Page Editor Layout","Source Code","Ctrl+Shift+F12","Using Web Page Editor"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
